id;relation;entity1;id1;entity2;id2
1019;tietado aliados;7475;Chico;5680;Dilma
1020;tirar;18;Senado;10305;Dilma Rousseff
1021;tomada impeachment;3376;Mendonça;1999;Dilma
1022;tomadas decisões;7874;Dilma;7821;Michel Temer
1023;tomar posse;10305;Dilma.;18;Senado
1024;tornaram articuladores;2481;CE;271;Dilma
1025;tornasse;24;Dilma;72;Constituição
1026;trabalhar presidente;10224;Dilma Rousseff.;26;Renan Calheiros
1027;transformar presidente;18;Senado;1409;Dilma Rousseff
1028;transformou metros;271;Dilma Rousseff;134;Palácio
1029;tratou;813;Petrobras;5680;Dilma Rousseff
1030;traz combater;7874;Dilma Rousseff;17;Aedes
1031;trazer morar;24;Dilma;6;Brasília
1032;tropeçou salão;10305;Dilma;18;Senado
1033;une lista;5680;Dilma;725;líderes
1034;usada antecessores;5598;El País;5680;Dilma
1035;usado beneficiar;10305;Dilma;4964;PT
1036;usado contas;314;TSE;1409;Dilma
1037;usar;24;Dilma;134;Palácio
1038;usar;10305;Dilma;134;Palácio
1039;usar aviões;7296;Dilma Rousseff;528;Força Aérea Brasileira
1040;usar impeachment;8;RJ;1999;Dilma Rousseff
1041;utilizadas governo;7652;BNDES;7874;Dilma
1042;vai;24;Dilma Rousseff;18;Senado
1043;vai;1999;Dilma Rousseff;18;Senado
1044;vai;10305;Dilma Rousseff;18;Senado
1045;vai decidir;18;Senado;24;Dilma Rousseff
1046;vai defender;1157;Dilma Rousseff;18;Senado
1047;vai defender;10305;Dilma;18;Senado
1048;vale deputado;7874;Dilma;82;Eduardo Cunha
1049;vamos combinar;1999;Dilma;2056;senador Anastasia
1050;veja;10305;Dilma Rousseff;78;íntegra
1051;ver caso;24;Dilma Rousseff;44;senador Eduardo Braga
1052;viabilizar candidatura;10305;Dilma;97;Presidência
1053;viajar capital;1861;Dilma;299;gaúcha
1054;viajou;1999;Dilma;1158;Cuba
1055;vice;24;Dilma;1067;presidente Michel Temer
1056;vice;1999;Dilma Rousseff;1067;presidente Michel Temer
1057;vice;4394;Dilma Rousseff;1067;presidente Michel Temer
1058;vice;10305;Dilma Rousseff;7821;presidente Michel Temer
1059;vice chapa;27;PMDB;7874;Dilma
1060;vice chapa;9;Temer;7874;Dilma Rousseff
1061;vice presidente;1409;Dilma;27;PMDB
1062;violou;24;Dilma;72;Constituição
1063;violou;4394;Dilma;235;Lei
1064;virou ré;10305;Dilma Rousseff;404;Anastasia
1065;visitou;1409;presidente Dilma Rousseff;725;líder
1066;visitou;413;Renan;7874;Dilma
1067;visitou filha;5680;Dilma;3655;Paula Rousseff Araújo
1068;vivem filha;299;gaúcha;1861;Dilma
1069;voltar patamar;271;Dilma Rousseff.;1104;dólar
1070;voltaram afirmar;73;Miguel Reale Júnior;1999;Dilma
1071;voltaram afirmar;73;Miguel Reale Júnior;10224;Dilma
1072;voltaria presidência;271;Dilma Rousseff;3362;República
1073;volte comandar;24;Dilma;135;Planalto.
1074;votado favor;2825;Roraima;1999;Dilma.
1075;votado impeachment;27;PMDB;7874;Dilma Rousseff
1076;votar afastamento;1463;PR;7874;Dilma.
1077;votar destituição;4620;Braga;9944;Dilma
1078;votar impeachment;18;Senado;11367;Dilma Rousseff
1079;votar presidente;1067;Michel Temer;1409;Dilma Rousseff
1080;votar relatório;5680;Dilma;404;Anastasia
1081;votar relatório;7874;Dilma;404;Anastasia
1082;votar sessão;9944;Dilma;6438;Armando Monteiro Neto
1083;votaram afastamento;26;Renan Calheiros;5680;Dilma.
1084;votaram impeachment;558;Sul;24;Dilma Rousseff
1085;votaram impeachment;1205;ES;24;Dilma Rousseff
1086;votou;7874;presidente Dilma Rousseff;202;Porto Alegre
1087;votou;10305;presidente Dilma Rousseff;202;Porto Alegre
1088;votou favor;26;senador Renan Calheiros;4;Dilma
1089;votou impeachment;1620;Alagoas;1999;Dilma Rousseff
1090;votou inabilitação;955;Paulo Paim;24;Dilma
1091;vá julgamento;5680;Dilma;21;Casa.
1092;–,;1999;Dilma;1248;senador
1093;’ afastamento;72;Constituição;4394;Dilma Rousseff
1094;”, afirmou;271;Dilma;2886;Lindbergh
1095;”, afirmou;1007;Vida;10305;Dilma.
1096;”, complementou;27;PMDB;24;Dilma
1097;”, criticou;4394;Dilma;6088;Dantas.
1098;”, disse;304;Tribunal Federal;1999;Dilma.
