0;0;presidente Michel Temer,Michel Temer,Michel Temer.,Michel TemerBBC Brasil
1;4;presidente Dilma Roussef,Dilma,Dilma.,presidente Dilma,presidente Dilma Rousseff.,presidente Dilma Rousseff
2;2;Crescer
3;3;Ministério
4;6;Brasil.,B,Brasília,Brasilia,Povo BrasileiroBrasília,Brasil
5;7;Galeão,G1
6;8;RJ
7;9;Temer,Temer. BBC Brasil,Temer.,Temer. Simão Davi Silber
8;11;Valec,Vale,Valec.
9;12;plenário,plenário Câmara,plenário Senado.
10;14;República Dilma Rousseff,República,República Michel Temer
11;15;Câmara,Câmara Federal,Câmara Eduardo Cunha
12;24;Dilma Rousseffdo,Dilma,Dilma Rousseff. MP,Dilma.,Dilma Rousseff,presidente Dilma Rousseff,Dilma Rousseff.,Dilma Roussef
13;17;Aedes
14;18;Senado,Senado. Acompanhe,Senado Federal,Senado. Eduardo Cunha,Senado.
15;21;Casa Civil.,Casa.,Casa,Casa Civil. Dilma
16;22;Waldir Maranhão,Maranhão
17;26;Renan Calheiros.,Renan,senador Renan Calheiros,Senado Renan Calheiros,Renan.,Renan Calheiros
18;27;PMDB.,PM,PMDB Dilma Rousseff,PM.,PMDB
19;28;AL,ATUALIZAÇÃO
20;35;Teori Zavascki,Teori
21;36;Tribunal Federal
22;38;Lula,Luiz Inácio Lula da Silva,presidente Luiz Inácio Lula da Silva,Lula.
23;39;Jato. Cenário,Jato,Jato.
24;41;Superior Tribunal
25;42;Justiça,Justiça Eleitoral.,Justiça Eleitoral. STF,Justiça Federal.,Justiça Federal
26;44;senador Eduardo Braga,senador,senador Delcído
27;45;Amaral,Amaral.
28;46;ministro Aloizio Mercadante,Aloizio Mercadante
29;51;Federal,6ª Vara Federal,Fed,Federal.
30;55;MPF,MP
31;56;Relação
32;57;Nordeste
33;59;PT.,PTC,PTdoB.,PT
34;63;presidente Fernando Collor,presidente Fernando Collor.,Fernando Collor
35;72;Constituição,Constituição Federal,Constituição Federal. Ruim
36;73;Miguel Reale Júnior
37;75;Justiça José Eduardo Cardozo,ministro José Eduardo Cardozo,José Eduardo Cardozo.,J,ministro José Eduardo Cardozo.,José,José Eduardo Cardozo,Justiça José Eduardo Cardozo.
38;76;Antônio Anastasia,senador Antônio Anastasia
39;77;PSB,PSBD
40;78;íntegra,Integrante,Integração
41;80;Congresso. Defesa,Congresso Nacional.,Congresso.,Congresso,Congressox
42;82;senhor Eduardo Cunha,Eduardo Cunha.,Eduardo Cunha
43;87;Caso,Caso Lewandowski
44;88;Festival
45;89;Cinema
46;90;G1,Gramado
47;97;Presidência
48;99;PF,PF.
49;100;Operação Custo Brasil
50;101;Lava Jato,Temer. Lava Jato,Lava
51;102;ministro Paulo Bernardo,Paulo Bernardo
52;109;Ricardo Lewandowski,ministro Ricardo Lewandowski,Ministro Ricardo Lewandowski
53;117;Luiz Fernando Pezão
54;118;Leblon
55;119;Zona Sul
56;120;Rio,Rio.,Rio2016
57;121;Hodgkin
58;129;Divisão
59;134;Palácio do Jaburu,Palácio,Palácio Itamaraty
60;135;Planalto,Planalto.
61;138;GloboNews Gerson Camarotti,G20,GloboNews Play,GloboNews,G1
62;144;excelência Anastasia,excelência
63;153;Anderson Lozi
64;154;Rocha
65;155;subsecretário
66;156;Planejamento
67;158;Ciência Tecnologia,Ciência
68;159;Tecnologia
69;160;Esther,Esther Dweck
70;161;Orçamento Federal,Orçamento,Orçamento Federal.
71;162;Freitas,Leandro Freitas Couto
72;163;Associação
73;164;Carreira
74;166;Antonio Anastasia.,Antonio Anastasia,Ásia,senador Antonio Anastasia
75;167;PSDB,PSDB.,PSD,PSDB Aécio Neves
76;168;MG
77;171;Janaína Paschoal.,J,Janaína Pascoal,Janaína Paschoal,Janaína
78;178;Ribeirão Preto
79;179;Palocci
80;180;Fazenda,Fazenda Nelson Barbosa,Fazenda.
81;185;senador Romero Jucá,Romero Jucá
82;188;ANJ
83;199;Escola
84;200;Escola Santos Dumont,Santos Dumont
85;202;Porto Alegre,Porto,Eleonora Menicucci. Porto Alegre,Porto Alegre.
86;203;Polícia,Polícia Militar,Polícia Federal.,Polícia Federal
87;207;PC,PCdo B,PCdoB
88;211;STF.,STF,STF. Acompanhe
